base_municipality,category,search_keyword,google_search_url,registered_url
板橋区,road,板橋区 指定道路図,https://www.google.com/search?q=%E6%9D%BF%E6%A9%8B%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
板橋区,district_plan,板橋区 地区計画,https://www.google.com/search?q=%E6%9D%BF%E6%A9%8B%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
板橋区,building_guidance,板橋区 建築指導課,https://www.google.com/search?q=%E6%9D%BF%E6%A9%8B%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
練馬区,official,練馬区 公式サイト,https://www.google.com/search?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
練馬区,road,練馬区 指定道路図,https://www.google.com/search?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
練馬区,district_plan,練馬区 地区計画,https://www.google.com/search?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
練馬区,building_guidance,練馬区 建築指導課,https://www.google.com/search?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
足立区,official,足立区 公式サイト,https://www.google.com/search?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
足立区,road,足立区 指定道路図,https://www.google.com/search?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
足立区,district_plan,足立区 地区計画,https://www.google.com/search?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
足立区,building_guidance,足立区 建築指導課,https://www.google.com/search?q=%E8%B6%B3%E7%AB%8B%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
葛飾区,official,葛飾区 公式サイト,https://www.google.com/search?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
葛飾区,road,葛飾区 指定道路図,https://www.google.com/search?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
葛飾区,district_plan,葛飾区 地区計画,https://www.google.com/search?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
葛飾区,building_guidance,葛飾区 建築指導課,https://www.google.com/search?q=%E8%91%9B%E9%A3%BE%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
江戸川区,official,江戸川区 公式サイト,https://www.google.com/search?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
江戸川区,road,江戸川区 指定道路図,https://www.google.com/search?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
江戸川区,district_plan,江戸川区 地区計画,https://www.google.com/search?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
江戸川区,building_guidance,江戸川区 建築指導課,https://www.google.com/search?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
